epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5025,3.25708,6.92677,4.11195,0,0,0,0,2.75491,6.0004,3.94264,0.0702857,0.00330159,0.00330159
2,31.288,3.2166,6.46245,3.82646,0.00181,0.0548,0.001,0.00026,3.37949,54.7109,6.70348,0.04022,0.00656923,0.00656923
3,46.6645,2.89627,5.86275,3.44089,0.3532,0.08038,0.01455,0.00346,2.74903,18.6623,3.82489,0.0100883,0.00977088,0.00977088
4,60.7551,2.41007,5.47863,2.97987,0.04942,0.19388,0.03852,0.01167,2.38671,6.93458,3.26253,0.009703,0.009703,0.009703
5,74.4268,2.07944,5.08543,2.67372,0.20589,0.17166,0.03075,0.01364,2.21663,11.4463,3.03017,0.009604,0.009604,0.009604
6,88.021,1.84017,4.67603,2.47049,0.15189,0.14761,0.06787,0.0345,1.85569,4.9061,2.66769,0.009505,0.009505,0.009505
7,101.519,1.69825,4.4077,2.33233,0.1354,0.21867,0.11107,0.06274,1.61309,4.50443,2.40092,0.009406,0.009406,0.009406
8,114.615,1.58918,4.20635,2.20714,0.14023,0.21273,0.1418,0.08455,1.54231,4.35027,2.28098,0.009307,0.009307,0.009307
9,126.994,1.53085,4.03673,2.1367,0.1881,0.36611,0.20278,0.12983,1.39048,3.87729,2.1653,0.009208,0.009208,0.009208
10,139.793,1.45437,3.87377,2.05828,0.16336,0.33396,0.19816,0.12614,1.37424,3.60494,2.12166,0.009109,0.009109,0.009109
11,151.782,1.43506,3.79462,2.03436,0.20639,0.40069,0.2219,0.14183,1.34514,3.44314,2.06522,0.00901,0.00901,0.00901
12,164.665,1.37108,3.62521,1.95534,0.15474,0.40496,0.19026,0.12457,1.30793,3.57012,2.04048,0.008911,0.008911,0.008911
13,176.821,1.31687,3.46972,1.92005,0.22116,0.54455,0.26564,0.17878,1.19658,3.61812,1.88835,0.008812,0.008812,0.008812
14,189.203,1.29168,3.36374,1.89937,0.30258,0.46725,0.35912,0.2524,1.20467,2.90434,1.90607,0.008713,0.008713,0.008713
15,201.223,1.23123,3.25,1.8153,0.3444,0.47657,0.35554,0.26081,1.12368,2.88392,1.81067,0.008614,0.008614,0.008614
16,213.317,1.20623,3.19703,1.7882,0.28068,0.50924,0.37833,0.27194,1.06153,3.03235,1.74581,0.008515,0.008515,0.008515
17,225.665,1.18471,3.14581,1.76926,0.31811,0.55175,0.38598,0.28437,1.04595,2.70118,1.73919,0.008416,0.008416,0.008416
18,237.839,1.17353,3.0153,1.75927,0.3085,0.55963,0.40764,0.30276,0.98805,2.94052,1.68268,0.008317,0.008317,0.008317
19,250.026,1.14076,2.98826,1.73938,0.35596,0.56822,0.44821,0.33741,0.96907,2.6442,1.6747,0.008218,0.008218,0.008218
20,262.223,1.12416,2.8897,1.70986,0.39843,0.58196,0.41168,0.31256,0.94794,2.61136,1.6323,0.008119,0.008119,0.008119
21,274.257,1.08943,2.843,1.67284,0.42686,0.59418,0.50697,0.38302,0.92203,2.40729,1.60861,0.00802,0.00802,0.00802
22,286.42,1.09484,2.80191,1.67022,0.31764,0.47728,0.41186,0.31296,0.94753,2.73007,1.60956,0.007921,0.007921,0.007921
23,298.397,1.06092,2.6975,1.62837,0.40096,0.61768,0.52649,0.40687,0.90713,2.40429,1.56564,0.007822,0.007822,0.007822
24,310.443,1.0361,2.62396,1.61216,0.44839,0.64901,0.53249,0.41904,0.85585,2.25963,1.54066,0.007723,0.007723,0.007723
25,322.422,1.03105,2.60635,1.61339,0.44904,0.64168,0.55788,0.44636,0.85667,2.12049,1.52002,0.007624,0.007624,0.007624
26,334.749,1.02289,2.56305,1.60791,0.45449,0.59922,0.55492,0.43809,0.84091,2.16962,1.50195,0.007525,0.007525,0.007525
27,347.112,1.02129,2.54593,1.58911,0.48097,0.68179,0.60035,0.47171,0.84534,2.13143,1.52098,0.007426,0.007426,0.007426
28,359.576,1.00712,2.46068,1.57874,0.52013,0.64032,0.61093,0.4791,0.88728,2.08574,1.5287,0.007327,0.007327,0.007327
29,371.936,0.99666,2.41462,1.56326,0.5148,0.59906,0.59918,0.4686,0.83131,2.08092,1.4988,0.007228,0.007228,0.007228
30,384.397,0.97355,2.38608,1.5426,0.5478,0.66596,0.65053,0.52461,0.75996,1.94566,1.42451,0.007129,0.007129,0.007129
31,397.094,0.98694,2.35061,1.55628,0.60206,0.61365,0.65414,0.52872,0.78613,1.90036,1.4505,0.00703,0.00703,0.00703
32,409.462,0.96547,2.36517,1.52727,0.59253,0.66747,0.6589,0.53837,0.754,1.89769,1.4219,0.006931,0.006931,0.006931
33,422.196,0.92875,2.25968,1.50543,0.49786,0.69323,0.67281,0.54252,0.78347,1.90458,1.43222,0.006832,0.006832,0.006832
34,434.561,0.95196,2.26727,1.52741,0.59037,0.72515,0.70855,0.56548,0.78546,1.7446,1.42548,0.006733,0.006733,0.006733
35,447.169,0.92593,2.19624,1.50495,0.61942,0.67764,0.70453,0.5692,0.77669,1.75639,1.41182,0.006634,0.006634,0.006634
36,460.945,0.9392,2.16784,1.50992,0.68388,0.67382,0.73585,0.60628,0.73185,1.75915,1.39639,0.006535,0.006535,0.006535
37,473.893,0.90223,2.10926,1.4725,0.69035,0.70448,0.75547,0.61506,0.75344,1.60081,1.39204,0.006436,0.006436,0.006436
