epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7799,3.18384,5.0851,4.13826,0.00175,0.16159,0.00213,0.00045,3.10481,3.89114,3.90891,0.000236413,0.000236413,0.000236413
2,73.6327,2.6895,4.69286,3.44281,0.00375,0.0288,0.00673,0.0016,2.81768,4.49444,3.48454,0.00046502,0.00046502,0.00046502
3,94.8328,2.14037,4.05607,2.70186,0.0063,0.76922,0.03709,0.0096,2.30303,3.56439,2.91825,0.000684202,0.000684202,0.000684202
4,115.726,1.79413,3.51455,2.28632,0.14763,0.09721,0.09715,0.05155,1.61757,2.97962,2.13478,0.000671588,0.000671588,0.000671588
5,136.849,1.58159,3.09699,2.01842,0.09943,0.30896,0.13328,0.08369,1.27238,2.53233,1.7772,0.000657451,0.000657451,0.000657451
6,157.803,1.44441,2.86216,1.85764,0.10991,0.54304,0.12725,0.08242,1.3297,2.46848,1.64357,0.000643314,0.000643314,0.000643314
7,178.75,1.35607,2.68628,1.76113,0.20288,0.53597,0.15588,0.11174,1.07411,2.37058,1.45383,0.000629177,0.000629177,0.000629177
8,199.825,1.27951,2.54665,1.68204,0.11988,0.44654,0.17426,0.12529,1.08212,2.36807,1.49127,0.00061504,0.00061504,0.00061504
9,220.927,1.20226,2.422,1.60852,0.11545,0.47441,0.17634,0.13098,1.12032,2.30181,1.47926,0.000600902,0.000600902,0.000600902
10,242.001,1.12788,2.33981,1.55544,0.12888,0.43031,0.19841,0.14743,1.11588,2.24554,1.45168,0.000586765,0.000586765,0.000586765
