epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9505,0.77828,3.59645,1.26131,0.28644,0.42188,0.33338,0.29574,0.49505,1.91269,1.0605,0.0702542,0.00330508,0.00330508
2,86.0073,0.64339,1.74808,1.11624,0.57283,0.68564,0.68771,0.61254,0.48016,1.30618,1.02365,0.0401447,0.00652888,0.00652888
3,123.284,0.70729,1.46646,1.12848,0.51153,0.56284,0.54319,0.4393,0.65452,1.76812,1.17655,0.00992517,0.00964268,0.00964268
4,162.189,0.7849,1.47889,1.17722,0.36791,0.39502,0.36995,0.28808,0.87861,3.65794,1.37715,0.009505,0.009505,0.009505
5,201.198,0.7723,1.37071,1.16753,0.56579,0.56138,0.57003,0.45609,0.85205,1.79858,1.3488,0.00934,0.00934,0.00934
6,239.598,0.80524,1.32646,1.18835,0.6788,0.64441,0.7029,0.58127,0.66769,1.43017,1.16559,0.009175,0.009175,0.009175
7,278.056,0.77481,1.24609,1.16222,0.62851,0.63439,0.6678,0.54599,0.76273,1.38613,1.2659,0.00901,0.00901,0.00901
8,319.84,0.74193,1.12872,1.14561,0.60694,0.64466,0.64919,0.54695,0.64564,1.45489,1.14225,0.008845,0.008845,0.008845
9,362.274,0.74048,1.1117,1.12958,0.80147,0.71452,0.80383,0.68228,0.60335,0.94674,1.10631,0.00868,0.00868,0.00868
10,404.903,0.70643,1.05655,1.11968,0.7912,0.74702,0.81871,0.69807,0.57155,0.97098,1.09228,0.008515,0.008515,0.008515
11,447.197,0.72925,1.04881,1.14841,0.82595,0.69889,0.80777,0.70541,0.5433,0.9823,1.05491,0.00835,0.00835,0.00835
12,489.322,0.69002,1.02213,1.11387,0.81598,0.67839,0.80782,0.69544,0.63407,0.9574,1.13002,0.008185,0.008185,0.008185
13,530.932,0.68405,0.96057,1.10773,0.84022,0.70508,0.79886,0.70238,0.53807,1.05144,1.05362,0.00802,0.00802,0.00802
14,572.577,0.66449,0.98413,1.09595,0.83646,0.81078,0.87674,0.77767,0.52431,0.82242,1.0497,0.007855,0.007855,0.007855
15,614.205,0.65331,0.93225,1.09877,0.75991,0.70871,0.79456,0.69452,0.56515,1.01481,1.08261,0.00769,0.00769,0.00769
16,655.758,0.64931,0.88689,1.08167,0.83029,0.77895,0.84754,0.74988,0.50413,0.74984,1.03054,0.007525,0.007525,0.007525
17,698.348,0.64035,0.88118,1.08645,0.88692,0.80709,0.89358,0.79158,0.49211,0.66901,1.02954,0.00736,0.00736,0.00736
18,740.568,0.62929,0.80696,1.06851,0.86185,0.85198,0.90492,0.81991,0.48251,0.63695,0.99555,0.007195,0.007195,0.007195
19,781.143,0.59546,0.81747,1.05866,0.81805,0.79762,0.88015,0.79957,0.45767,0.7668,0.99345,0.00703,0.00703,0.00703
20,821.413,0.59644,0.75977,1.05772,0.89574,0.80604,0.90459,0.83006,0.44879,0.62079,0.9848,0.006865,0.006865,0.006865
21,861.793,0.57892,0.7839,1.04495,0.87711,0.85274,0.91076,0.82249,0.4564,0.58038,0.99346,0.0067,0.0067,0.0067
22,902.308,0.58618,0.75712,1.04425,0.86676,0.81274,0.89789,0.81214,0.47274,0.65668,1.00142,0.006535,0.006535,0.006535
23,940.787,0.57424,0.73703,1.04039,0.883,0.84331,0.91583,0.83568,0.42598,0.59018,0.96385,0.00637,0.00637,0.00637
24,976.954,0.56735,0.68598,1.04041,0.90681,0.82317,0.91199,0.83494,0.43323,0.57636,0.97213,0.006205,0.006205,0.006205
25,1012.93,0.57826,0.70425,1.04408,0.90217,0.81576,0.89993,0.81712,0.45368,0.62267,0.98971,0.00604,0.00604,0.00604
26,1053.4,0.54856,0.69505,1.02741,0.84953,0.88067,0.92347,0.85055,0.40879,0.59006,0.94152,0.005875,0.005875,0.005875
27,1093.4,0.53317,0.64516,1.01839,0.90106,0.88317,0.94308,0.87922,0.38165,0.45225,0.93308,0.00571,0.00571,0.00571
28,1134.1,0.53227,0.65809,1.02054,0.87598,0.89799,0.93184,0.8601,0.40532,0.50206,0.94325,0.005545,0.005545,0.005545
29,1174.54,0.52811,0.64683,1.01841,0.92109,0.88136,0.94121,0.87772,0.39015,0.45464,0.92946,0.00538,0.00538,0.00538
