epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0379,3.18384,5.0851,4.13826,0.00175,0.16159,0.00213,0.00045,3.10481,3.89114,3.90891,0.000236413,0.000236413,0.000236413
2,44.5532,2.6895,4.69286,3.44281,0.00375,0.0288,0.00673,0.0016,2.81768,4.49444,3.48454,0.00046502,0.00046502,0.00046502
3,65.5555,2.14037,4.05607,2.70186,0.0063,0.76922,0.03709,0.0096,2.30303,3.56439,2.91825,0.000684202,0.000684202,0.000684202
