epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8087,3.18384,5.0851,4.13826,0.00175,0.16159,0.00213,0.00045,3.10481,3.89114,3.90891,0.000236413,0.000236413,0.000236413
2,84.171,2.68924,4.68271,3.43952,0.216,0.01,0.0095,0.00266,2.53357,3.99958,3.16103,0.000469717,0.000469717,0.000469717
3,114.151,2.15443,4.04597,2.7033,0.23884,0.18079,0.08546,0.03017,1.9689,3.1377,2.38822,0.000698308,0.000698308,0.000698308
4,145.926,1.792,3.48529,2.28246,0.06085,0.17272,0.07294,0.04259,1.40064,2.95702,1.93668,0.000692794,0.000692794,0.000692794
5,183.459,1.58316,3.0819,2.00778,0.0863,0.21681,0.12949,0.0828,1.25973,2.51073,1.7098,0.000685726,0.000685726,0.000685726
6,210.295,1.4385,2.84548,1.85469,0.11279,0.39031,0.12026,0.08087,1.16627,2.48256,1.57572,0.000678657,0.000678657,0.000678657
7,248.244,1.33803,2.67482,1.74378,0.10175,0.61192,0.13819,0.09339,1.1676,2.46791,1.5219,0.000671588,0.000671588,0.000671588
8,289.038,1.26459,2.52918,1.6665,0.10146,0.43858,0.17485,0.1339,0.97697,2.26097,1.42546,0.00066452,0.00066452,0.00066452
9,324.242,1.19878,2.4001,1.60643,0.20563,0.41564,0.20797,0.15811,0.88539,2.18644,1.34638,0.000657451,0.000657451,0.000657451
10,359.894,1.12299,2.31719,1.54491,0.13422,0.52588,0.24155,0.18664,0.9202,2.09558,1.33786,0.000650383,0.000650383,0.000650383
11,400.336,1.11335,2.26533,1.52179,0.17505,0.57842,0.23811,0.19022,0.85864,2.11075,1.27663,0.000643314,0.000643314,0.000643314
12,441.095,1.09492,2.1711,1.49657,0.27047,0.61349,0.27802,0.22093,0.87746,1.85693,1.25343,0.000636245,0.000636245,0.000636245
13,476.277,1.03729,2.09159,1.44901,0.1936,0.59738,0.36796,0.30197,0.83267,1.85167,1.24501,0.000629177,0.000629177,0.000629177
14,507.951,1.01863,2.00259,1.42525,0.21368,0.60644,0.32648,0.26141,0.79156,1.79571,1.21873,0.000622108,0.000622108,0.000622108
15,548.397,1.00424,1.96055,1.41434,0.33035,0.59399,0.36736,0.31264,0.70651,1.72482,1.14291,0.00061504,0.00061504,0.00061504
16,588.634,0.98266,1.89401,1.39613,0.27886,0.69988,0.45086,0.3794,0.67471,1.62963,1.11705,0.000607971,0.000607971,0.000607971
17,629.047,0.96381,1.8527,1.38394,0.24485,0.67762,0.41368,0.33755,0.76641,1.71522,1.16905,0.000600902,0.000600902,0.000600902
18,669.794,0.94487,1.81742,1.36346,0.30704,0.72128,0.476,0.38922,0.72845,1.5086,1.13071,0.000593834,0.000593834,0.000593834
