epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9603,3.24737,6.91389,4.08767,0,0,0,0,2.74992,5.97238,3.91086,0.0702857,0.00330159,0.00330159
2,28.3125,3.18254,6.44028,3.76888,0.0002,0.00208,0.0001,3e-05,2.89935,18.1953,3.93126,0.0402669,0.00661615,0.00661615
3,40.0282,2.82863,5.80149,3.34342,0.0002,0.00208,0.0001,3e-05,2.70969,6.95708,3.41615,0.0102293,0.00991186,0.00991186
4,51.729,2.3562,5.37968,2.91169,0.06944,0.01042,0.0394,0.01709,2.30658,5.52019,3.04507,0.00991514,0.00991514,0.00991514
5,63.1464,2.04609,5.0188,2.61825,0.05,0.00625,0.02781,0.0127,1.9658,5.04894,2.69837,0.00988686,0.00988686,0.00988686
6,74.8078,1.80678,4.61018,2.40214,0.15156,0.02452,0.08248,0.06275,1.76949,4.63517,2.5168,0.00985857,0.00985857,0.00985857
7,86.1158,1.65571,4.32486,2.24903,0.02564,0.01282,0.01699,0.01302,1.59653,4.84985,2.34362,0.00983029,0.00983029,0.00983029
8,97.4145,1.5523,4.07388,2.14159,0.04412,0.01442,0.02922,0.02019,1.61875,4.936,2.37683,0.009802,0.009802,0.009802
9,108.498,1.50439,3.91444,2.10309,0.08333,0.0016,0.04247,0.03397,1.37343,3.6236,2.11323,0.00977371,0.00977371,0.00977371
10,120.009,1.4372,3.76749,2.02766,0.18274,0.0627,0.11912,0.09176,1.41204,4.29902,2.15518,0.00974543,0.00974543,0.00974543
11,131.522,1.41411,3.66197,2.00357,0.37313,0.08619,0.23278,0.18028,1.26674,3.44015,1.97461,0.00971714,0.00971714,0.00971714
12,142.768,1.35719,3.48068,1.93246,0.22958,0.03181,0.13199,0.11496,1.24303,3.18113,1.94914,0.00968886,0.00968886,0.00968886
13,154.089,1.30278,3.30313,1.90614,0.19841,0.02511,0.11007,0.09015,1.14805,3.01461,1.8729,0.00966057,0.00966057,0.00966057
14,165.572,1.28521,3.22247,1.88743,0.41171,0.08775,0.24485,0.20125,1.1491,2.69697,1.85072,0.00963229,0.00963229,0.00963229
15,176.939,1.24546,3.11903,1.82836,0.45511,0.17325,0.31154,0.26967,1.10737,2.69063,1.78683,0.009604,0.009604,0.009604
16,188.19,1.2259,3.02888,1.80346,0.56967,0.11698,0.34457,0.28674,1.08013,2.77403,1.77686,0.00957571,0.00957571,0.00957571
17,199.688,1.18065,2.99516,1.77908,0.63293,0.17381,0.4071,0.34514,1.04434,2.97838,1.74903,0.00954743,0.00954743,0.00954743
18,211.301,1.1923,2.8756,1.78219,0.33103,0.12557,0.23204,0.19884,1.00453,2.96365,1.70761,0.00951914,0.00951914,0.00951914
19,222.95,1.15838,2.83032,1.76091,0.53372,0.18834,0.37166,0.30713,1.0181,2.60167,1.73365,0.00949086,0.00949086,0.00949086
20,234.126,1.11391,2.72376,1.70362,0.64944,0.23027,0.44274,0.38011,0.95661,2.39515,1.62501,0.00946257,0.00946257,0.00946257
21,245.387,1.10849,2.65689,1.695,0.62633,0.15398,0.39248,0.34972,0.92085,2.23238,1.61124,0.00943429,0.00943429,0.00943429
22,256.9,1.0915,2.60959,1.66977,0.51194,0.15261,0.33448,0.29594,0.93994,2.26884,1.61639,0.009406,0.009406,0.009406
23,268.517,1.06773,2.53856,1.63556,0.71156,0.26498,0.49571,0.42782,0.88783,2.12077,1.56811,0.00937771,0.00937771,0.00937771
