epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5925,0.86529,5.82279,1.21671,0.20268,0.42073,0.25152,0.19892,0.66408,3.54743,1.05937,0.000207562,0.000207562,0.000207562
2,62.4806,0.86387,4.34774,1.18005,0.47848,0.61599,0.56398,0.45834,0.66701,2.5849,1.05492,0.000411778,0.000411778,0.000411778
3,90.2431,0.85061,3.50049,1.15929,0.60506,0.65773,0.69115,0.55655,0.69633,2.52034,1.08509,0.000611869,0.000611869,0.000611869
4,117.811,0.80875,2.91455,1.11811,0.79366,0.78319,0.86173,0.70965,0.66188,1.6278,1.06371,0.000606437,0.000606437,0.000606437
5,144.821,0.81277,2.52164,1.11866,0.7776,0.82524,0.90711,0.76246,0.64061,1.53147,1.01701,0.00060025,0.00060025,0.00060025
6,172.268,0.79286,2.24887,1.10974,0.90492,0.91278,0.95937,0.81575,0.60453,1.14589,1.01053,0.000594062,0.000594062,0.000594062
7,199.61,0.76836,1.98487,1.09307,0.94303,0.92587,0.97006,0.83194,0.60252,1.01671,1.00114,0.000587875,0.000587875,0.000587875
8,227.171,0.74286,1.83323,1.07721,0.94452,0.9276,0.97185,0.8348,0.58569,0.99086,0.98788,0.000581687,0.000581687,0.000581687
9,254.847,0.7411,1.6965,1.07169,0.93705,0.93135,0.97033,0.83671,0.5849,0.9318,0.97779,0.0005755,0.0005755,0.0005755
10,282.645,0.73753,1.5957,1.06851,0.93908,0.93429,0.97218,0.84692,0.5671,0.89518,0.96013,0.000569313,0.000569313,0.000569313
11,309.685,0.71066,1.52653,1.05788,0.93999,0.94699,0.97412,0.84627,0.54994,0.86789,0.9589,0.000563125,0.000563125,0.000563125
12,336.845,0.70389,1.45657,1.06049,0.9678,0.95364,0.97778,0.84487,0.59312,0.78811,0.97715,0.000556938,0.000556938,0.000556938
13,364.155,0.70613,1.37766,1.05601,0.93396,0.93246,0.96934,0.85236,0.5417,0.91885,0.94958,0.00055075,0.00055075,0.00055075
14,392.037,0.69421,1.29778,1.04705,0.96423,0.95133,0.97534,0.84583,0.56682,0.79853,0.96342,0.000544563,0.000544563,0.000544563
15,419.65,0.70446,1.24872,1.04654,0.95933,0.98229,0.98112,0.85832,0.54565,0.73491,0.94884,0.000538375,0.000538375,0.000538375
16,447.73,0.68621,1.17368,1.04108,0.94477,0.94219,0.9651,0.85308,0.53856,0.84398,0.95075,0.000532187,0.000532187,0.000532187
17,475.323,0.68841,1.18452,1.0462,0.97032,0.98098,0.97945,0.85892,0.54841,0.6705,0.95615,0.000526,0.000526,0.000526
18,503.092,0.67096,1.10756,1.02682,0.97948,0.96921,0.98025,0.87296,0.52513,0.66197,0.93427,0.000519812,0.000519812,0.000519812
19,530.868,0.67001,1.11145,1.03622,0.97441,0.97487,0.98444,0.87148,0.52448,0.64138,0.93213,0.000513625,0.000513625,0.000513625
20,558.235,0.68575,1.08802,1.03635,0.98295,0.98224,0.98193,0.86322,0.53138,0.61963,0.93664,0.000507438,0.000507438,0.000507438
21,585.518,0.67304,1.05726,1.03386,0.98055,0.98077,0.98217,0.87082,0.52618,0.59241,0.93287,0.00050125,0.00050125,0.00050125
22,613.315,0.65996,1.0227,1.02748,0.98363,0.9821,0.98276,0.87678,0.50465,0.58832,0.91999,0.000495063,0.000495063,0.000495063
23,640.878,0.65705,1.01074,1.02369,0.97486,0.9831,0.97837,0.86585,0.51835,0.60382,0.92537,0.000488875,0.000488875,0.000488875
24,668.407,0.65818,0.97655,1.02234,0.97854,0.97577,0.98287,0.87924,0.51247,0.59572,0.92341,0.000482687,0.000482687,0.000482687
25,695.785,0.63592,0.93906,1.02006,0.9876,0.98735,0.98092,0.87281,0.52146,0.59354,0.9257,0.0004765,0.0004765,0.0004765
26,723.223,0.64941,0.91876,1.01949,0.9825,0.98432,0.98605,0.88319,0.51694,0.58121,0.92714,0.000470312,0.000470312,0.000470312
27,750.81,0.63547,0.9016,1.01751,0.98388,0.98706,0.984,0.87787,0.51166,0.58284,0.93086,0.000464125,0.000464125,0.000464125
28,778.07,0.62649,0.8937,1.01157,0.97921,0.97944,0.9827,0.87421,0.5207,0.57835,0.92721,0.000457938,0.000457938,0.000457938
29,805.103,0.65208,0.93719,1.01848,0.98302,0.98109,0.98255,0.88281,0.49645,0.55923,0.91382,0.00045175,0.00045175,0.00045175
30,832.217,0.6301,0.88755,1.01319,0.9832,0.98742,0.98413,0.8876,0.48625,0.56189,0.90864,0.000445562,0.000445562,0.000445562
31,859.278,0.62278,0.85694,1.00995,0.98687,0.98514,0.98351,0.88749,0.4864,0.53289,0.90971,0.000439375,0.000439375,0.000439375
32,886.75,0.62146,0.84779,1.00568,0.98046,0.98286,0.98148,0.87887,0.4962,0.54942,0.91381,0.000433187,0.000433187,0.000433187
33,913.911,0.62754,0.85944,1.00755,0.98307,0.97494,0.97872,0.87625,0.5102,0.56037,0.92311,0.000427,0.000427,0.000427
34,941.35,0.61484,0.81775,1.00389,0.98242,0.98644,0.98606,0.88527,0.49847,0.53772,0.90764,0.000420812,0.000420812,0.000420812
35,969.414,0.63119,0.82872,1.00978,0.98306,0.9837,0.98103,0.88353,0.49634,0.52781,0.91214,0.000414625,0.000414625,0.000414625
36,997.826,0.61229,0.83093,1.00864,0.98647,0.97894,0.98286,0.87729,0.51466,0.55476,0.92407,0.000408438,0.000408438,0.000408438
37,1026.29,0.627,0.82235,1.01254,0.97806,0.9861,0.97979,0.87916,0.48897,0.53661,0.90902,0.00040225,0.00040225,0.00040225
38,1054.01,0.61583,0.80238,1.00154,0.97568,0.98262,0.98204,0.87631,0.50785,0.55599,0.92126,0.000396063,0.000396063,0.000396063
39,1081.9,0.60844,0.79737,1.00187,0.98312,0.98719,0.98725,0.88993,0.49535,0.51777,0.91634,0.000389875,0.000389875,0.000389875
40,1109.78,0.6019,0.7595,0.9969,0.98585,0.98479,0.98776,0.88871,0.49651,0.50563,0.91507,0.000383688,0.000383688,0.000383688
41,1137.11,0.60848,0.78488,1.00261,0.98065,0.98651,0.98266,0.89003,0.48784,0.52365,0.90732,0.0003775,0.0003775,0.0003775
42,1164.39,0.60637,0.74865,1.00287,0.9812,0.98201,0.9839,0.88866,0.49595,0.51032,0.9123,0.000371313,0.000371313,0.000371313
43,1191.83,0.59265,0.76372,1.00043,0.986,0.98499,0.98818,0.88942,0.49012,0.50864,0.90894,0.000365125,0.000365125,0.000365125
44,1219.22,0.59219,0.74835,0.99801,0.98325,0.98581,0.98447,0.88381,0.50262,0.51523,0.91264,0.000358938,0.000358938,0.000358938
45,1246.68,0.59997,0.75531,0.99713,0.98256,0.9796,0.98678,0.88475,0.50895,0.51128,0.91943,0.00035275,0.00035275,0.00035275
46,1274.12,0.59673,0.73813,0.99226,0.98401,0.9844,0.98469,0.8947,0.4795,0.48811,0.90459,0.000346563,0.000346563,0.000346563
47,1301.4,0.57534,0.71957,0.98514,0.97843,0.98611,0.98267,0.8942,0.4696,0.50172,0.90011,0.000340375,0.000340375,0.000340375
48,1328.81,0.58021,0.74102,0.98787,0.98462,0.98705,0.98348,0.87887,0.50672,0.5129,0.91748,0.000334188,0.000334188,0.000334188
49,1356.17,0.58469,0.71498,0.99065,0.9861,0.98587,0.98517,0.89059,0.48921,0.49835,0.91037,0.000328,0.000328,0.000328
50,1383.61,0.58705,0.72112,0.98689,0.98537,0.98461,0.98345,0.88888,0.49241,0.49515,0.90751,0.000321812,0.000321812,0.000321812
51,1410.95,0.57818,0.69391,0.97957,0.98455,0.98896,0.98055,0.88992,0.48021,0.50226,0.9003,0.000315625,0.000315625,0.000315625
52,1438.13,0.57774,0.69132,0.98686,0.98615,0.98735,0.98159,0.89201,0.47755,0.48659,0.90255,0.000309437,0.000309437,0.000309437
53,1465.62,0.57355,0.69854,0.98504,0.98091,0.98902,0.98121,0.88552,0.48103,0.49913,0.90368,0.00030325,0.00030325,0.00030325
