epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2222,3.26121,6.90831,4.1146,0,0,0,0,2.76103,6.00186,3.9441,0.0702857,0.00330159,0.00330159
2,34.9747,3.20853,6.46424,3.82596,0.00291,0.48966,0.00519,0.00128,2.7656,25.7198,4.19182,0.0402419,0.00659113,0.00659113
3,48.9315,2.80611,5.81364,3.37133,0.03287,0.0928,0.02027,0.00701,2.45192,5.75694,3.31427,0.0101541,0.00983667,0.00983667
